?human	?humanLabel	?representedParty	?representedPartyLabel	?representedGroup	?representedGroupLabel	?electedInDistrict	?electedInDistrictLabel	?startDate	?endDate	?parliamentaryTerm	?parliamentaryTermLabel
<http://www.wikidata.org/entity/Q84385>	"Walter Arendt"@en										
<http://www.wikidata.org/entity/Q85412>	"Christa Prets"@en	<http://www.wikidata.org/entity/Q179111>	"Social Democratic Party of Austria"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q85412>	"Christa Prets"@en	<http://www.wikidata.org/entity/Q179111>	"Social Democratic Party of Austria"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q85545>	"Werner Langen"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q85545>	"Werner Langen"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2014-05-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		<http://www.wikidata.org/entity/Q17315694>	"Eighth European Parliament"@en
<http://www.wikidata.org/entity/Q85545>	"Werner Langen"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q85545>	"Werner Langen"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q85545>	"Werner Langen"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1994-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1999-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315706>	"Fourth European Parliament"@en
<http://www.wikidata.org/entity/Q85569>	"Ruth Hieronymi"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1999-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2004-07-19T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q16836722>	"Fifth European Parliament"@en
<http://www.wikidata.org/entity/Q85569>	"Ruth Hieronymi"@en	<http://www.wikidata.org/entity/Q49762>	"Christian Democratic Union"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2009-07-13T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
